-87.633308037,-87.633308037
-87.620992913,-87.620992913
-87.626214906,-87.626214906
-87.632746489,-87.632746489
-87.63186395,-87.63186395
-87.90303966100002,-87.90303966100002
-87.618868355,-87.618868355
-87.655998182,-87.655998182
-87.626210532,-87.626210532
-87.612945414,-87.612945414
-87.642648998,-87.642648998
-87.617358006,-87.617358006
-87.750934289,-87.750934289
-87.655878786,-87.655878786
-87.663416405,-87.663416405
-87.69915534299999,-87.69915534299999
-87.67016685700001,-87.67016685700001
-87.620334624,-87.620334624
-87.72345239,-87.72345239
-87.77116670299999,-87.77116670299999
-87.64396537,-87.64396537
-87.804532006,-87.804532006
-87.666596265,-87.666596265
-87.726929842,-87.726929842
-87.58747925799999,-87.58747925799999
